,Job Title,Company,Experience,Salary,Requirements,Link
60,Специалист технической поддержки,ТОО KEY ONE,Опыт 1-3 года,до 350 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108669787?hhtmFrom=vacancy_search_list
61,PHP разработчик,ТОО Сентрас Капитал,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108804263?hhtmFrom=vacancy_search_list
62,Специалист ITотдела,ТОО Inkar,Опыт 1-3 года,до 300 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108794007?hhtmFrom=vacancy_search_list
63,Junior analyst / Младший аналитик,ТОО Intermode (Интермоде),Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107942796?hhtmFrom=vacancy_search_list
64,IOS/ANDROID/ PYTHON-backend Разработчик,ИП FoodCloud,Опыт 3-6 лет,от 250 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108730607?hhtmFrom=vacancy_search_list
65,QA инженер,АО TECHNODOM Operator (Технодом Оператор),Без опыта,Not specified,Not specified,https://almaty.hh.kz/vacancy/108183753?hhtmFrom=vacancy_search_list
66,Data analyst,ТОО PAYPLUS,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108746698?hhtmFrom=vacancy_search_list
67,Аналитик по управлению доходами,"AIR ASTANA, АО",Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108843049?hhtmFrom=vacancy_search_list
68,Software Engineer (Python),Team4You,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108695373?hhtmFrom=vacancy_search_list
69,Backend-разработчик,ИП Мухитдинов,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108878869?hhtmFrom=vacancy_search_list
70,IT-специалист,ТОО SMLAB,Опыт 3-6 лет,от 300 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108581690?hhtmFrom=vacancy_search_list
71,Frontend Developer в SuperApp,АО Kcell,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108449343?hhtmFrom=vacancy_search_list
72,Программист 1С:ERP,АО КЕЛЕТ,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108821160?hhtmFrom=vacancy_search_list
73,Frontend-разработчик (Angular),talent U,Опыт 3-6 лет,700 000 – 800 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108185623?hhtmFrom=vacancy_search_list
74,Бизнес-аналитик,ТОО TEPLOSTIL,Опыт более 6&nbsp;лет,500 000 – 2 000 000 ₸ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/108591117?hhtmFrom=vacancy_search_list
75,Начальник IT / ПТО,ТОО Ниет ЛТД,Опыт 1-3 года,530 000 – 530 000 ₸ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/108615276?hhtmFrom=vacancy_search_list
76,QA инженер,АО «ФИНАНСОВЫЙ ХОЛДИНГ «РЕСПУБЛИКА»,Опыт 1-3 года,до 600 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108658885?hhtmFrom=vacancy_search_list
77,Аналитик данных,"ТОО Abris Distribution Kazakhstan, Филиал Компании в Казахстане",Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107932143?hhtmFrom=vacancy_search_list
78,Системный аналитик,ТОО Bilim Land (Bilim Media Group),Опыт 1-3 года,до 700 000 ₸ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/108498849?hhtmFrom=vacancy_search_list
79,Системный администратор,iFuture,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108729296?hhtmFrom=vacancy_search_list
80,Менеджер чат-поддержки,ТОО IT Contact Center (АйТи Контакт Центр),Без опыта,от 350 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108241508?hhtmFrom=vacancy_search_list
81,Специалист технической поддержки,ТОО Рауза АДЕ,Опыт 1-3 года,от 250 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108833937?hhtmFrom=vacancy_search_list
82,Backend разработчик,ТОО FREEDOM MOBILE,Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/107603323?hhtmFrom=vacancy_search_list
83,Специалист службы поддержки чатов,ТОО Glovo Kazakhstan,Без опыта,Not specified,Not specified,https://almaty.hh.kz/vacancy/108234360?hhtmFrom=vacancy_search_list
84,Junior Backend Go разработчик,ТОО Crystal Spring,Опыт 1-3 года,от 200 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/107560612?hhtmFrom=vacancy_search_list
85,Руководитель клиентского сервиса интернет-аптеки,ТОО Rocket Pharm,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108513579?hhtmFrom=vacancy_search_list
86,"Manual QA Engineer (defi, blockchain)",EmFi Technologies Limited,Опыт 1-3 года,1 500 – 2 500 $ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/108782104?hhtmFrom=vacancy_search_list
87,Специалист IT (Help Desk),ТОО ПЕРВЫЙ ПИВЗАВОД,Опыт 3-6 лет,350 000 – 400 000 ₸ на руки,Not specified,https://almaty.hh.kz/vacancy/108350853?hhtmFrom=vacancy_search_list
88,Information security engineer/Инженер по информационной безопасности,ТОО TechBridge,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108777839?hhtmFrom=vacancy_search_list
89,Senior Programme Manager,ТОО BRITISH COUNCIL (KAZAKHSTAN) (БРИТИШ КАУНСИЛ (КАЗАХСТАН)),Опыт 3-6 лет,875 000 – 875 000 ₸ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/107519531?hhtmFrom=vacancy_search_list
90,Senior Data Engineer/Дата инженер,ТОО Agile Soft,Без опыта,Not specified,Not specified,https://almaty.hh.kz/vacancy/108498469?hhtmFrom=vacancy_search_list
91,Azure Devops Engineer,"AIR ASTANA, АО",Опыт 1-3 года,Not specified,Not specified,https://almaty.hh.kz/vacancy/108790617?hhtmFrom=vacancy_search_list
92,Программист Java SPRING,Analytics Company,Опыт 3-6 лет,2 800 – 5 500 $ до вычета налогов,Not specified,https://almaty.hh.kz/vacancy/108500120?hhtmFrom=vacancy_search_list
93,"ICT Associate, CP Almaty",Программа Развития Организации Объединенных Наций в РК,Опыт 3-6 лет,Not specified,Not specified,https://almaty.hh.kz/vacancy/108519412?hhtmFrom=vacancy_search_list
