Job Title;Company;Experience;Salary;Link
Разработчик вспомогательных систем;АО Народный банк Казахстана;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108784968?hhtmFrom=vacancy_search_list
Стажёр-практикант в отдел информационной безопасности;ТОО Inova Tech;Без опыта;Not specified;https://almaty.hh.kz/vacancy/108440016?hhtmFrom=vacancy_search_list
Data Analyst;ТОО INTELLIMARKET;Без опыта;300 000 – 600 000 ₸ на руки;https://almaty.hh.kz/vacancy/108204884?hhtmFrom=vacancy_search_list
Системный аналитик;ТОО DAR tech;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108822315?hhtmFrom=vacancy_search_list
Junior Frontend Developer;ТОО PingOcean (ПингОушен);Опыт 1-3 года;от 300 000 ₸ на руки;https://almaty.hh.kz/vacancy/108382775?hhtmFrom=vacancy_search_list
Junior Python RPA Developer;Частная компания Python RPA Ltd.;Без опыта;от 150 000 ₸ на руки;https://almaty.hh.kz/vacancy/108250101?hhtmFrom=vacancy_search_list
Разработчик RPA;ТОО MAGNUM. Информационные технологии/Ақпараттық технологиялар;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108686511?hhtmFrom=vacancy_search_list
Менеджер технической поддержки (без опыта);ТОО PARTNERS - SM;Без опыта;280 000 – 350 000 ₸ на руки;https://almaty.hh.kz/vacancy/108019684?hhtmFrom=vacancy_search_list
Тестировщик (Manual QA Engineer);ТОО Globerce Inc.;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/107206585?hhtmFrom=vacancy_search_list
Системный администратор;ТОО NKB Group Kazakhstan;Опыт 3-6 лет;400 000 – 450 000 ₸ на руки;https://almaty.hh.kz/vacancy/108451565?hhtmFrom=vacancy_search_list
Технический директор;ТОО SHAQYR CLEANING;Опыт 1-3 года;300 000 – 600 000 ₸ на руки;https://almaty.hh.kz/vacancy/108562787?hhtmFrom=vacancy_search_list
Ночной специалист поддержки VIP-клиентов;Liene;Опыт 1-3 года;350 000 – 550 000 ₸ на руки;https://almaty.hh.kz/vacancy/108651731?hhtmFrom=vacancy_search_list
Старший Java разработчик;AIR ASTANA, АО;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108669897?hhtmFrom=vacancy_search_list
Проектный координатор по управлению данными;Частный фонд Фонд Булата Утемуратова;Опыт 1-3 года;до 500 000 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/107744864?hhtmFrom=vacancy_search_list
Middle Front-end разработчик (React);АО TECHNODOM Operator (Технодом Оператор);Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108231847?hhtmFrom=vacancy_search_list
Ведущий администратор;ТОО KAZ MINERALS.MANAGMENT;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108745439?hhtmFrom=vacancy_search_list
Специалист по информационным технологиям;Банк Китая в Казахстане, АО ДБ;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108136163?hhtmFrom=vacancy_search_list
Тестировщик;ТОО IMARKETING;Опыт 1-3 года;от 300 000 ₸ на руки;https://almaty.hh.kz/vacancy/108264312?hhtmFrom=vacancy_search_list
Android разработчик;ТОО Транспортный холдинг города Алматы;Опыт 1-3 года;до 600 000 ₸ на руки;https://almaty.hh.kz/vacancy/108863262?hhtmFrom=vacancy_search_list
Системный аналитик;ТОО OneVision;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108716247?hhtmFrom=vacancy_search_list
IT-специалист;ТОО Kelun-Kazpharm (Келун-Казфарм);Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108723143?hhtmFrom=vacancy_search_list
Тестировщик;ТОО Компания ЭВРИКА;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108522047?hhtmFrom=vacancy_search_list
Supervisor Commercial Analysis & Reporting;ТОО Филип Моррис Казахстан;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108584735?hhtmFrom=vacancy_search_list
Специалист технической поддержки;ТОО KEY ONE;Опыт 1-3 года;до 350 000 ₸ на руки;https://almaty.hh.kz/vacancy/108669787?hhtmFrom=vacancy_search_list
PHP разработчик;ТОО Сентрас Капитал;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108804263?hhtmFrom=vacancy_search_list
